"","Frag_ID","Species","Genotype","Timepoint","Treatment","Temperature","Trt_temp","Squares_counted.1mm2","Total.blastate.ml","rep1","rep2","rep3","rep4","Mean.cells","Stdev","StError","CV","Cells.mm2","Cells.ml","Total.cells","Surface_area.cm2","AFDW_gdw","Symb_density.cells..cm2","Symb_density.cells..gdw","Log_Symb_density.cells..gdw","Facet"
"59","P-6-28","Porites","6","T2","Guano","Ambient","g-a",2,25,123,92,109,117,110.25,13.5,6.73,12.2,55.13,551250,13781250,21.1,0.09,653139.81042654,153125000,8.18504610170861,"Porites - Bleaching Period"
"60","P-6-29","Porites","6","T2","Effluent","Ambient","e-a",1,25,124,113,119,145,125.25,13.9,6.96,11.11,125.25,1252500,31312500,42.22627451,0.1225,741540.672563586,255612244.897959,8.40758165451077,"Porites - Bleaching Period"
"61","P-6-4","Porites","6","T2","Control","Heated","c-h",4,25,83,93,120,113,102.25,17.2,8.6,16.81,25.56,255625,6390625,34.79647059,0.12,183657.275914546,53255208.3333333,7.72636208797583,"Porites - Bleaching Period"
"62","P-6-9","Porites","6","T2","Inorganic","Heated","i-h",4,25,49,55,64,56,56,6.2,3.08,11.01,14,140000,3500000,22.72039216,0.0975,154046.636842909,35897435.8974359,7.55506342865174,"Porites - Bleaching Period"
"63","P-6-14","Porites","6","T2","Guano","Heated","g-h",4,25,28,38,34,30,32.5,4.4,2.22,13.65,8.13,81250,2031250,57.9627451,NA,35044.0614311071,NA,NA,"Porites - Bleaching Period"
"64","P-6-19","Porites","6","T2","Effluent","Heated","e-h",4,25,41,50,48,37,44,6.1,3.03,13.76,11,110000,2750000,25.39568627,0.075,108286.106969615,36666666.6666667,7.56427143043856,"Porites - Bleaching Period"
"65","P-8-26","Porites","8","T2","Control","Ambient","c-a",2,25,89,107,110,87,98.25,11.9,5.96,12.14,49.13,491250,12281250,11.76980392,0.065,1043454.08670156,188942307.692308,8.27632921541267,"Porites - Bleaching Period"
"66","P-8-27","Porites","8","T2","Inorganic","Ambient","i-a",2,25,131,138,165,141,143.75,14.8,7.39,10.28,71.88,718750,17968750,21.19764706,0.1025,847676.628879583,175304878.048781,8.24379400097795,"Porites - Bleaching Period"
"67","P-8-28","Porites","8","T2","Guano","Ambient","g-a",1,25,111,122,115,124,118,6.1,3.03,5.13,118,1180000,29500000,28.42941176,0.15,1037657.76967311,196666666.666667,8.29373075692248,"Porites - Bleaching Period"
"68","P-8-29","Porites","8","T2","Effluent","Ambient","e-a",1,25,149,134,135,141,139.75,6.9,3.45,4.94,139.75,1397500,34937500,31.05176471,0.16,1125137.34167091,218359375,8.33917184257457,"Porites - Bleaching Period"
