Frag_ID,Species,Genotype,Timepoint,Treatment,Temperature,Slurry Aliquot (ml),Vol,pan,pan_drymass,drymass,pan_burned_mass,AFDW_g.ml,AFDW_gdw
M-1-28,Montipora,1,T2,Guano,Ambient,1,25,0.4207,0.4284,0.0077,0.425,0.0043,0.085
M-2-28,Montipora,2,T2,Guano,Ambient,1,25,0.4253,0.4321,0.0068,0.4285,0.0032,0.09
M-3-28,Montipora,3,T2,Guano,Ambient,1,25,0.421,0.4292,0.0082,0.4253,0.0043,0.0975
M-4-28,Montipora,4,T2,Guano,Ambient,1,25,0.4187,0.425,0.0063,0.4218,0.0031,0.08
M-5-28,Montipora,5,T2,Guano,Ambient,1,25,0.421,0.4276,0.0066,0.4241,0.0031,0.0875
M-6-28,Montipora,6,T2,Guano,Ambient,1,25,0.4199,0.429,0.0091,0.4241,0.0042,0.1225
M-7-28,Montipora,7,T2,Guano,Ambient,1,25,0.4267,0.4319,0.0052,0.4296,0.0029,0.0575
M-8-28,Montipora,8,T2,Guano,Ambient,1,25,0.4194,0.4252,0.0058,0.4218,0.0024,0.085
M-9-28,Montipora,9,T2,Guano,Ambient,1,25,0.4264,0.4319,0.0055,0.4289,0.0025,0.075
M-1-27,Montipora,1,T2,Inorganic,Ambient,1,25,0.4213,0.4301,0.0088,0.4259,0.0046,0.105
M-2-27,Montipora,2,T2,Inorganic,Ambient,1,25,0.4224,0.4309,0.0085,0.4263,0.0039,0.115
M-3-27,Montipora,3,T2,Inorganic,Ambient,1,25,0.4269,0.4416,0.0147,0.4341,0.0072,0.1875
M-4-27,Montipora,4,T2,Inorganic,Ambient,1,25,0.4215,0.4271,0.0056,0.4241,0.0026,0.075
M-5-27,Montipora,5,T2,Inorganic,Ambient,1,25,0.4241,0.4282,0.0041,0.431,0.0069,-0.07
M-6-27,Montipora,6,T2,Inorganic,Ambient,1,25,0.4261,0.4371,0.011,0.4258,-0.0003,0.2825
M-7-27,Montipora,7,T2,Inorganic,Ambient,1,25,0.4264,0.434,0.0076,0.4302,0.0038,0.095
M-8-27,Montipora,8,T2,Inorganic,Ambient,1,25,0.425,0.4315,0.0065,0.4276,0.0026,0.0975
M-9-27,Montipora,9,T2,Inorganic,Ambient,1,25,0.4234,0.4359,0.0125,0.4291,0.0057,0.17
M-1-4,Montipora,1,T2,Control,Heated,1,25,0.4257,0.4336,0.0079,0.4299,0.0042,0.0925
M-2-4,Montipora,2,T2,Control,Heated,1,25,0.417,0.4239,0.0069,0.4205,0.0035,0.085
M-3-4,Montipora,3,T2,Control,Heated,1,25,0.4083,0.4147,0.0064,0.4116,0.0033,0.0775
M-4-4,Montipora,4,T2,Control,Heated,1,25,0.4247,0.4314,0.0067,0.4284,0.0037,0.075
M-5-4,Montipora,5,T2,Control,Heated,1,25,0.4226,0.4275,0.0049,0.4252,0.0026,0.0575
M-6-4,Montipora,6,T2,Control,Heated,1,25,0.4215,0.4304,0.0089,0.4262,0.0047,0.105
M-7-30,Montipora,7,T2,Control,Heated,1,25,0.4175,0.4282,0.0107,0.4235,0.006,0.1175
M-8-4,Montipora,8,T2,Control,Heated,1,25,0.4148,0.4228,0.008,0.4185,0.0037,0.1075
M-9-4,Montipora,9,T2,Control,Heated,1,25,0.4163,0.4241,0.0078,0.4203,0.004,0.095
M-1-19,Montipora,1,T2,Effluent,Heated,1,25,0.4212,0.4265,0.0053,0.424,0.0028,0.0625
M-2-19,Montipora,2,T2,Effluent,Heated,1,25,0.41,0.4166,0.0066,0.4132,0.0032,0.085
M-3-19,Montipora,3,T2,Effluent,Heated,1,25,0.4222,0.4272,0.005,0.4247,0.0025,0.0625
M-4-19,Montipora,4,T2,Effluent,Heated,1,25,0.4113,0.4187,0.0074,0.4152,0.0039,0.0875
M-5-19,Montipora,5,T2,Effluent,Heated,1,25,0.4165,0.4233,0.0068,0.4199,0.0034,0.085
M-6-19,Montipora,6,T2,Effluent,Heated,1,25,0.4163,0.4245,0.0082,0.4201,0.0038,0.11
M-7-19,Montipora,7,T2,Effluent,Heated,1,25,0.4159,0.4226,0.0067,0.4199,0.004,0.0675
M-8-19,Montipora,8,T2,Effluent,Heated,1,25,0.4186,0.4277,0.0091,0.4229,0.0043,0.12
M-9-30,Montipora,9,T2,Effluent,Heated,1,25,0.4167,0.4263,0.0096,0.4213,0.0046,0.125
M-1-14,Montipora,1,T2,Guano,Heated,1,25,0.4163,0.4212,0.0049,0.4189,0.0026,0.0575
M-2-14,Montipora,2,T2,Guano,Heated,1,25,0.4138,0.4211,0.0073,0.4175,0.0037,0.09
M-3-14,Montipora,3,T2,Guano,Heated,1,25,0.4172,0.4217,0.0045,0.4201,0.0029,0.04
M-4-14,Montipora,4,T2,Guano,Heated,1,25,0.4234,0.4283,0.0049,0.4261,0.0027,0.055
M-5-14,Montipora,5,T2,Guano,Heated,1,25,0.4188,0.4224,0.0036,0.4207,0.0019,0.0425
M-6-14,Montipora,6,T2,Guano,Heated,1,25,0.4261,0.435,0.0089,0.4307,0.0046,0.1075
M-7-14,Montipora,7,T2,Guano,Heated,1,25,0.4263,0.4305,0.0042,0.4293,0.003,0.03
M-8-30,Montipora,8,T2,Guano,Heated,1,25,0.4246,0.4387,0.0141,0.4313,0.0067,0.185
M-9-14,Montipora,9,T2,Guano,Heated,1,25,0.4218,0.425,0.0032,0.4233,0.0015,0.0425
M-1-9,Montipora,1,T2,Inorganic,Heated,1,25,0.4187,0.4239,0.0052,0.4214,0.0027,0.0625
M-2-9,Montipora,2,T2,Inorganic,Heated,1,25,0.4123,0.4199,0.0076,0.4159,0.0036,0.1
M-3-9,Montipora,3,T2,Inorganic,Heated,1,25,0.4187,0.4238,0.0051,0.4212,0.0025,0.065
M-4-9,Montipora,4,T2,Inorganic,Heated,1,25,0.4208,0.4263,0.0055,0.4235,0.0027,0.07
M-5-9,Montipora,5,T2,Inorganic,Heated,1,25,0.4187,0.4255,0.0068,0.4222,0.0035,0.0825
