Date,Time,Tank,Species,PAR
7/26/2023,0:15,MCAP AMB,Montipora,0
7/26/2023,0:30,MCAP AMB,Montipora,0
7/26/2023,0:45,MCAP AMB,Montipora,0
7/26/2023,1:00,MCAP AMB,Montipora,0
7/26/2023,1:15,MCAP AMB,Montipora,0
7/26/2023,1:30,MCAP AMB,Montipora,0
7/26/2023,1:45,MCAP AMB,Montipora,0
7/26/2023,2:00,MCAP AMB,Montipora,0
7/26/2023,2:15,MCAP AMB,Montipora,0
7/26/2023,2:30,MCAP AMB,Montipora,0
7/26/2023,2:45,MCAP AMB,Montipora,0
7/26/2023,3:00,MCAP AMB,Montipora,0
7/26/2023,3:15,MCAP AMB,Montipora,0
7/26/2023,3:30,MCAP AMB,Montipora,0
7/26/2023,3:45,MCAP AMB,Montipora,0
7/26/2023,4:00,MCAP AMB,Montipora,0
7/26/2023,4:15,MCAP AMB,Montipora,0
7/26/2023,4:30,MCAP AMB,Montipora,0
7/26/2023,4:45,MCAP AMB,Montipora,0
7/26/2023,5:00,MCAP AMB,Montipora,0
7/26/2023,5:15,MCAP AMB,Montipora,0
7/26/2023,5:30,MCAP AMB,Montipora,0
7/26/2023,5:45,MCAP AMB,Montipora,0
7/26/2023,6:00,MCAP AMB,Montipora,0
7/26/2023,6:15,MCAP AMB,Montipora,1.1
7/26/2023,6:30,MCAP AMB,Montipora,3.8
7/26/2023,6:45,MCAP AMB,Montipora,10.6
7/26/2023,7:00,MCAP AMB,Montipora,12.7
7/26/2023,7:15,MCAP AMB,Montipora,23.7
7/26/2023,7:30,MCAP AMB,Montipora,31.8
7/26/2023,7:45,MCAP AMB,Montipora,52.4
7/26/2023,8:00,MCAP AMB,Montipora,74.9
7/26/2023,8:15,MCAP AMB,Montipora,61
7/26/2023,8:30,MCAP AMB,Montipora,79.7
7/26/2023,8:45,MCAP AMB,Montipora,73.8
7/26/2023,9:00,MCAP AMB,Montipora,91.7
7/26/2023,9:15,MCAP AMB,Montipora,100.4
7/26/2023,9:30,MCAP AMB,Montipora,147
7/26/2023,9:45,MCAP AMB,Montipora,235.2
7/26/2023,10:00,MCAP AMB,Montipora,158.3
7/26/2023,10:15,MCAP AMB,Montipora,166.2
7/26/2023,10:30,MCAP AMB,Montipora,436.9
7/26/2023,10:45,MCAP AMB,Montipora,586.4
7/26/2023,11:00,MCAP AMB,Montipora,137.4
7/26/2023,11:15,MCAP AMB,Montipora,110.5
7/26/2023,11:30,MCAP AMB,Montipora,186.8
7/26/2023,11:45,MCAP AMB,Montipora,360.2
7/26/2023,12:00,MCAP AMB,Montipora,284
7/26/2023,12:15,MCAP AMB,Montipora,313.7
7/26/2023,12:30,MCAP AMB,Montipora,168.8
7/26/2023,12:45,MCAP AMB,Montipora,119.5
7/26/2023,13:00,MCAP AMB,Montipora,154.4
7/26/2023,13:15,MCAP AMB,Montipora,250.4
7/26/2023,13:30,MCAP AMB,Montipora,265.2
7/26/2023,13:45,MCAP AMB,Montipora,268.4
7/26/2023,14:00,MCAP AMB,Montipora,275.6
7/26/2023,14:15,MCAP AMB,Montipora,177.8
7/26/2023,14:30,MCAP AMB,Montipora,167.5
7/26/2023,14:45,MCAP AMB,Montipora,142.4
7/26/2023,15:00,MCAP AMB,Montipora,109.4
7/26/2023,15:15,MCAP AMB,Montipora,67.9
7/26/2023,15:30,MCAP AMB,Montipora,70.2
7/26/2023,15:45,MCAP AMB,Montipora,66.4
7/26/2023,16:00,MCAP AMB,Montipora,62.8
7/26/2023,16:15,MCAP AMB,Montipora,84.9
7/26/2023,16:30,MCAP AMB,Montipora,64.5
7/26/2023,16:45,MCAP AMB,Montipora,56.8
7/26/2023,17:00,MCAP AMB,Montipora,52.3
7/26/2023,17:15,MCAP AMB,Montipora,42.6
7/26/2023,17:30,MCAP AMB,Montipora,35.4
7/26/2023,17:45,MCAP AMB,Montipora,35.9
7/26/2023,18:00,MCAP AMB,Montipora,27.5
7/26/2023,18:15,MCAP AMB,Montipora,19.2
7/26/2023,18:30,MCAP AMB,Montipora,7.9
7/26/2023,18:45,MCAP AMB,Montipora,6.2
7/26/2023,19:00,MCAP AMB,Montipora,3.2
7/26/2023,19:15,MCAP AMB,Montipora,1.1
7/26/2023,19:30,MCAP AMB,Montipora,0.2
7/26/2023,19:45,MCAP AMB,Montipora,0
7/26/2023,20:00,MCAP AMB,Montipora,0
7/26/2023,20:15,MCAP AMB,Montipora,0
7/26/2023,20:30,MCAP AMB,Montipora,0
7/26/2023,20:45,MCAP AMB,Montipora,0
7/26/2023,21:00,MCAP AMB,Montipora,0
7/26/2023,21:15,MCAP AMB,Montipora,0
7/26/2023,21:30,MCAP AMB,Montipora,0
7/26/2023,21:45,MCAP AMB,Montipora,0
7/26/2023,22:00,MCAP AMB,Montipora,0
7/26/2023,22:15,MCAP AMB,Montipora,0
7/26/2023,22:30,MCAP AMB,Montipora,0
7/26/2023,22:45,MCAP AMB,Montipora,0
7/26/2023,23:00,MCAP AMB,Montipora,0
7/26/2023,23:15,MCAP AMB,Montipora,0
7/26/2023,23:30,MCAP AMB,Montipora,0
7/26/2023,23:45,MCAP AMB,Montipora,0
7/26/2023,0:00,MCAP AMB,Montipora,0
7/27/2023,0:15,MCAP AMB,Montipora,0
7/27/2023,0:30,MCAP AMB,Montipora,0
7/27/2023,0:45,MCAP AMB,Montipora,0
7/27/2023,1:00,MCAP AMB,Montipora,0
7/27/2023,1:15,MCAP AMB,Montipora,0
7/27/2023,1:30,MCAP AMB,Montipora,0
7/27/2023,1:45,MCAP AMB,Montipora,0
7/27/2023,2:00,MCAP AMB,Montipora,0
7/27/2023,2:15,MCAP AMB,Montipora,0
7/27/2023,2:30,MCAP AMB,Montipora,0
7/27/2023,2:45,MCAP AMB,Montipora,0
7/27/2023,3:00,MCAP AMB,Montipora,0
7/27/2023,3:15,MCAP AMB,Montipora,0
7/27/2023,3:30,MCAP AMB,Montipora,0
7/27/2023,3:45,MCAP AMB,Montipora,0
7/27/2023,4:00,MCAP AMB,Montipora,0
7/27/2023,4:15,MCAP AMB,Montipora,0
7/27/2023,4:30,MCAP AMB,Montipora,0
7/27/2023,4:45,MCAP AMB,Montipora,0
7/27/2023,5:00,MCAP AMB,Montipora,0
7/27/2023,5:15,MCAP AMB,Montipora,0
7/27/2023,5:30,MCAP AMB,Montipora,0
7/27/2023,5:45,MCAP AMB,Montipora,0
7/27/2023,6:00,MCAP AMB,Montipora,0.1
7/27/2023,6:15,MCAP AMB,Montipora,1.4
7/27/2023,6:30,MCAP AMB,Montipora,5.6
7/27/2023,6:45,MCAP AMB,Montipora,13.3
7/27/2023,7:00,MCAP AMB,Montipora,17.2
7/27/2023,7:15,MCAP AMB,Montipora,25.1
7/27/2023,7:30,MCAP AMB,Montipora,32.4
7/27/2023,7:45,MCAP AMB,Montipora,157.4
7/27/2023,8:00,MCAP AMB,Montipora,122.7
7/27/2023,8:15,MCAP AMB,Montipora,38.1
7/27/2023,8:30,MCAP AMB,Montipora,45.7
7/27/2023,8:45,MCAP AMB,Montipora,61.3
7/27/2023,9:00,MCAP AMB,Montipora,88.6
7/27/2023,9:15,MCAP AMB,Montipora,75.3
7/27/2023,9:30,MCAP AMB,Montipora,124.2
7/27/2023,9:45,MCAP AMB,Montipora,172.2
7/27/2023,10:00,MCAP AMB,Montipora,125.9
7/27/2023,10:15,MCAP AMB,Montipora,149.4
7/27/2023,10:30,MCAP AMB,Montipora,452.4
