"","ID","Timepoint","Aquaria","Tank","Species","Treatment","Temperature","Nutrient","Concentration","Concentration_log10","Normalized","Sample"
"90",27,"T2","P-Dosing","Dosing","Porites","Effluent","Ambient","PO4",3.57,0.552668216112193,0.283208020050125,"Effluent_T2"
"91",27,"T2","P-Dosing","Dosing","Porites","Effluent","Ambient","SiO4",13.09,1.11693964655076,0.608935466078323,"Effluent_T2"
"92",27,"T2","P-Dosing","Dosing","Porites","Effluent","Ambient","N+N",11.81,1.07224989761351,1,"Effluent_T2"
"93",27,"T2","P-Dosing","Dosing","Porites","Effluent","Ambient","NH4",47.92,1.68051680938126,0.804670189193796,"Effluent_T2"
"94",27,"T2","P-Dosing","Dosing","Porites","Effluent","Ambient","TIN",59.73,1.77619251474707,0.981643651060963,"Effluent_T2"
"95",27,"T2","P-Dosing","Dosing","Porites","Effluent","Ambient","N_to_P",12.9658848614072,12.9658848614072,0.219070115193428,"Effluent_T2"
"96",27,"T2","P-Dosing","Dosing","Porites","Effluent","Ambient","DON",1.08,0.033423755486949,0,"Effluent_T2"
"97",27,"T2","P-Dosing","Dosing","Porites","Effluent","Ambient","DOP",1.12,0.0492180226701818,1,"Effluent_T2"
"98",27,"T2","P-Dosing","Dosing","Porites","Effluent","Ambient","DOC",111.21,2.04614384074923,0.36687561860772,"Effluent_T2"
"99",28,"T2","M-Dosing","Dosing","Montipora","Effluent","Ambient","TN",52.1,1.71683772329952,0.74559585492228,"Effluent_T2"
"100",28,"T2","M-Dosing","Dosing","Montipora","Effluent","Ambient","TP",1.82,0.260071387985075,0.124166666666667,"Effluent_T2"
"101",28,"T2","M-Dosing","Dosing","Montipora","Effluent","Ambient","PO4",1.69,0.227886704613674,0.126148705096074,"Effluent_T2"
"102",28,"T2","M-Dosing","Dosing","Montipora","Effluent","Ambient","SiO4",6.06,0.782472624166286,0.221180364037507,"Effluent_T2"
"103",28,"T2","M-Dosing","Dosing","Montipora","Effluent","Ambient","N+N",11.12,1.04610478724604,0.938775510204082,"Effluent_T2"
"104",28,"T2","M-Dosing","Dosing","Montipora","Effluent","Ambient","NH4",27.84,1.44466923093852,0.46241690813022,"Effluent_T2"
"105",28,"T2","M-Dosing","Dosing","Montipora","Effluent","Ambient","TIN",38.96,1.59061894820658,0.631862579993264,"Effluent_T2"
"106",28,"T2","M-Dosing","Dosing","Montipora","Effluent","Ambient","N_to_P",28.6263736263736,28.6263736263736,0.63136398006465,"Effluent_T2"
"107",28,"T2","M-Dosing","Dosing","Montipora","Effluent","Ambient","DON",13.14,1.11859536522376,0.659737417943107,"Effluent_T2"
"108",28,"T2","M-Dosing","Dosing","Montipora","Effluent","Ambient","DOP",0.13,-0.886056647693163,0.0917431192660553,"Effluent_T2"
"109",28,"T2","M-Dosing","Dosing","Montipora","Effluent","Ambient","DOC",142.01,2.15231892742465,0.874958759485318,"Effluent_T2"
